NombreSVG	delx	dely	suelox	sueloy	ancho	largo
alvarobregon284.cu.svg	442.88	2870.813	1007.426	1280.313	216.355	247.187
alvarobregon286.cu.svg	717.579	2825	159.124	1649.5	265.477	293
amsterdam25.cu.svg	1039.464	2917	483.009	1741.5	186.137	201
amsterdam107.cu.svg	64.5	3189.148	725.045	1585.648	209.461	355.852
avmexico1.x.svg	717.514	4949	1043.155	4857.5	154.687	120
avmexicoponiente47.x.svg	899.514	4909.888	541.49	5031.388	195.687	159.112
avninosheroes173.bj.svg	205.5	96.349	204.834	67.849	181.313	230.651
avsantaana300.co.svg	145.098	2015.816	111.883	1054.316	161	144.184
balsas18.bj.svg	416.539	80.924	415.873	52.424	374.961	246.076
bolivar168.cu.svg	306	3332	966.545	1728.5	153	213
bretana90.bj.svg	848.703	67.178	848.037	38.678	285.797	259.822
calhueso480.co.svg	93.969	2230.605	320.754	1031.105	583.061	167.395
calle323655.ga.svg	119.519	4723	975.094	3113.5	193	89
calsanantonioabad122.cu.svg	493.204	3197	183.436	1998.5	405.72	348
caltlalpan2050.co.svg	354.209	1931.75	83.923	4400.25	855	228.25
canalmiramontes2747.co.svg	719.307	2245.298	946.092	1045.798	220.693	152.702
chihuahua110.cu.svg	956.01	3288.757	646.242	2090.257	259.086	256.243
coahuila8.cu.svg	121	3837.523	942.232	2153.023	153	193.477
concepcionbesitegui1509.bj.svg	85.163	497.054	77.357	376.554	228.612	268.946
coquimbo911.ga.svg	332.389	4503	292.526	3258.5	226.849	309
cuauhtemoc75.co.svg	987.085	2265.679	995.799	4496.179	198.946	132.321
edimburgo4.bj.svg	375.082	382.404	120.497	3625.904	547.387	383.596
edmultifamiliar.co.svg	119.184	2465	80.826	4684.5	389.694	292
emilianozapata56.bj.svg	980.251	475	363.445	355.5	211.585	291
enriquerebsamen241.bj.svg	205.96	924.118	631.153	388.618	308.128	256.882
escocia4.bj.svg	570.747	835.821	724.162	3662.321	503.293	346.179
escocia29.co.svg	565.341	2502.042	54.887	1272.542	350.475	254.958
escocia33.co.svg	976.816	2620.825	464.362	1391.325	184	136.175
genova33.cu.svg	309.263	3615.994	92.912	2401.494	364.696	415.006
magnolia76.cu.svg	729.348	3903.078	512.997	2688.578	192.313	127.922
medellin176.cu.svg	978.831	3819.686	762.48	2605.186	160.128	211.314
mina16.cu.svg	91.298	4289	978.947	2671.5	206.809	144
paseodelasgalias47.i.svg	686.827	4591.145	529.468	4755.645	198	220.855
patriciosanz37.bj.svg	17.78	1272.436	192.722	4087.936	645	253.564
prolpeten915.bj.svg	718.804	1243	992.998	362.5	208.313	283
puebla282.cu.svg	344	4284.166	110.575	3053.666	153	148.834
puente222.t.svg	1034.776	4640.88	815.417	4805.38	174.051	171.12
queretaro222.cu.svg	547.093	4160.535	313.667	2930.035	175.491	272.465
rancholosarcos32.co.svg	54.398	2846.009	704.944	1255.509	246.203	271.991
ranchotamboreo11.t.svg	254.397	4879.596	576.533	3378.096	409.609	189.404
salvadordmiron155.cu.cvg	725.313	4321.92	491.887	3091.42	205.687	111.08
saratoga714.bj.svg	981.715	1281.092	23.05	729.592	280.505	244.908
sonora149.cu.svg	929.53	4102.539	696.105	2872.039	259.172	330.461
tokio517.bj.svg	67.996	1598.224	360.33	709.724	475.462	264.776
viaductomiguelaleman106.bj.svg	599.166	1603.921	891.5	715.421	365.45	259.079
xola32.bj.svg	1022.101	1588.02	896.044	4065.52	189.903	274.98
